Word,Count
ReviewDate,1
Comments,2182
help,1
change,33
spelling,2
remove,60
log,13
required,40
Don,2
static,4
context,3
verify,10
string,13
please,33
add,30
test,18
cases,12
firebase,2
performance,3
return,15
full,3
list,4
method,39
renamed,1
fetchFirst,1
removed,20
Remove,37
import,6
used,21
No,2187
Additional,2180
adding,2
handlings,2
work,11
Why,29
user,13
onboard,1
login,3
fails,3
changes,22
file,36
Move,27
different,10
function,14
Revert,21
Return,1
starting,1
fragment,14
Redundant,1
code,84
Raise,1
PR,6
RC,3
This,38
could,2
sensitive,1
indicate,1
brushing,3
time,7
brusing,1
check,69
previous,1
comment,10
Same,6
applicable,2
unused,8
resources,4
related,12
need,17
merge,4
integration,5
I,10
found,1
sdk,1
M,1
condition,21
places,6
RNGestureHandlerButtonViewManager,1
class,18
react,2
native,2
gesture,1
handle,9
module,1
Found,1
conditions,5
Build,5
VERSION,4
SDK,2
INT,2
CODES,2
LOLLIPOP,1
These,1
lib,3
We,8
XButton,1
left,1
intentionally,2
Others,1
control,1
include,2
tests,2
possible,3
ringid/modelid,1
model,2
ids,1
Check,15
Filehelper,1
readFile,1
filepath,1
move,17
helper,1
Can,18
Validation,1
Nebraska,6
Started,1
key,4
better,4
logging,1
Is,8
duplicated,2
folder,3
set,6
resource,1
Brush,4
heads,3
So,7
write,3
CODE1,3
brush,6
bug,1
create,6
defect,2
attach,2
pull,4
request,2
Will,2
merged,6
CDI,1
testing,12
results,1
GOT,1
positive,1
feedback,1
China,2
team,3
debuggable,1
true,15
release,2
buildType,1
IS,1
still,1
valid,2
yes,3
go,6
seperate,1
created,1
RCA,1
Please,60
formatted,1
properly,1
Yes,1
Lots,1
happening,2
Just,2
avoid,6
conflicts,2
taking,2
advantages,1
issues,1
fixed,4
branch,4
merging,4
fill,2
developer,1
checklist,3
observed,1
const,1
tracking,4
single,3
utility,3
reduce,1
complexity,1
Put,2
null,20
getDevice,1
Cross,2
name,28
returns,3
getBrushingModeOnRoutineNumber,1
matching,2
expected,2
values,3
mentioned,6
tag,6
plan,3
Changes,3
done,20
suggested,2
As,12
Deepa,1
update,5
BrushHeadUtils,3
also,5
ACCESS,1
COARSE,1
LOCATION,2
FINE,1
permission,1
meaning,2
easy,2
understanding,4
Also,15
apply,2
formatting,3
line,17
There,4
difference,2
android,1
iOS,3
logic,21
Reformat,1
Added,13
reminding,1
purpose,4
Format,3
TIME,4
logs,2
Rename,5
variable,13
HUNDRED,1
API,51
written,2
timing,3
Comment,3
given,11
assign,4
another,2
Directly,1
Do,16
classes,2
delete,5
operations,1
performed,2
Jenkins,1
Pass,2
momentTimeStamp,1
instead,11
resultDate,1
compare,1
DateUtil,1
getDaysFromNow,1
HelperConstants,1
DATA,1
PURGING,1
DB,3
NO,1
OF,1
DAYS,1
onStart,2
response,2
getting,1
executed,1
Main,1
thread,2
Dispose,1
received,1
make,6
private,6
If,25
handler,1
emitter,2
onNext,2
Other,3
wise,1
call,16
back,7
get,11
called,7
It,14
handleDrsDialogOnAppUpgrade,1
inside,8
else,7
part,4
After,3
rename,10
isSessionDataPriorThreshold,2
switch,5
case,24
type,1
TuscanyUtils,2
checkPrivacyNotice,1
DD,1
INTERNET,1
ERROR,2
DIALOG,1
appropriate,1
one,4
openUrlInExternalBrowser,1
template,3
Approved,1
based,3
verification,1
SplashInsurancePresenter,1
java,20
verified,1
Code,11
Duplication,1
imports,2
added,12
fix,5
style,2
put,6
Allow,2
hole,2
area,1
clickable,1
arrow,1
button,3
Note,2
:,25
Link,1
excluded,1
Use,11
observe,1
observeForever,1
observer,1
exist,4
without,1
knowledge,1
lifecycle,1
Memory,1
Leak,1
view,3
PathSelectorFragment,1
solutionSelectionLayout,1
android:layout,2
weight,1
height,1
0dp,1
dialog,6
conflict,1
data,6
purge,2
The,5
present,14
Integration,3
Branch,1
When,3
gets,1
Integation,1
Shanghai,4
take,4
care,3
scenario,5
already,8
assigning,1
currentLocationPermissionResult,1
postCurrentBleStatus,1
dont,2
print,1
Stacj,1
trace,1
debug,1
mode,2
block,3
commented,13
Always,1
TuscanyLog,2
printStackTrace,1
tracing,1
exception,2
effected,1
files,11
impact,4
value,16
solutionJsonString,1
assigned,1
replacing,1
All,2
consider,1
side,6
effect,2
similar,4
lines,12
accordingly,3
group,1
separate,7
correct,1
story,7
For,10
TW,1
MO,3
HK,1
corresponding,5
language,2
PO,1
Dulce,1
What,6
strings,6
commenting,1
continue,2
Once,1
build,6
issue,9
due,1
latest,7
version,8
library,2
uncomment,1
listener,6
View,1
OnClickListener,1
coding,2
standard,2
pass,5
handleFeature,1
isIMUSupported,2
similarly,2
passing,8
currentBottomNavItem,1
By,1
restricting,1
accessibility,1
datas,1
available,4
handlefeature,1
Readability,4
Name,3
item,3
confusing,1
Design,4
FeatureProvider,1
HomeActivtiyViewModel,1
In,4
future,3
across,1
tab,1
targeting,1
refresh,1
refreshBrushingData,1
How,8
extension,4
function:,1
Create,2
package,6
UiExtensionFun,1
UI,7
functions,2
A,2
want,3
Example:,1
TextViewExtension,1
kt,2
TextView,1
doUnderline,1
Unit,2
Test,3
Write,1
Add,5
ProgressReportProcessorTest,1
